,stop_id1,stop_id2,distance,latitude1,longitude1,latitude2,longitude2
804,8591396,Parent8503512,18.468446169604878,47.383083,8.585999,47.39888,8.420439
805,8591397,8576187,3.796294016248842,47.37909,8.559345,47.342976,8.583097
806,8591400,8576222,2.907066828784119,47.353912,8.601072,47.31581,8.597237
807,8591401,Parent8590464,5.10282786476596,47.365967,8.496895,47.311783,8.524311
808,8591404,8503006:0:6,3.6551621813547372,47.366142,8.532531,47.41153,8.544137
809,8591404,8576219,7.729011861552704,47.366142,8.532531,47.31384,8.592224
810,8591410,8590697,10.076186905302512,47.340824,8.52538,47.44606,8.581309
811,8591411,8591315,4.5013358090816356,47.38354,8.549069,47.35103,8.58298
812,8591412,8591123,0.7008035173228927,47.37687,8.554522,47.37729,8.548233
813,8591414,8590890,9.46891171574823,47.361664,8.526504,47.410122,8.604989
814,8591416,8503015:0:1,1.818923194928044,47.398975,8.51354,47.39304,8.529378
815,8591418,8590554,10.597080453727578,47.423862,8.523045,47.397,8.6164875
816,8591424,8576249,13.121700966779017,47.35832,8.584059,47.442223,8.480743
817,8591424,8591064,5.8683996925110495,47.35832,8.584059,47.37067,8.53201
818,8591424,Parent8503051,7.328817328383382,47.35832,8.584059,47.362766,8.518292
819,8591427,8576208,7.0842446012500275,47.372326,8.526845,47.326286,8.582307
820,8591427,8590574,13.344844940632445,47.372326,8.526845,47.39491,8.645745
821,8591427,8591297,5.5081947734331855,47.372326,8.526845,47.41672,8.566164
822,8591429,8591078,2.1034397290076554,47.360157,8.568625,47.380913,8.555995
823,8591429,8591079,4.908984119306349,47.360157,8.568625,47.37417,8.52556
824,8591430,8591100,1.4616050199966673,47.336777,8.53289,47.356133,8.532216
825,8591432,8503003P,5.447270887594002,47.355213,8.596806,47.36661,8.548485
826,8591432,8591382,6.9841263121113695,47.355213,8.596806,47.410072,8.54623
827,8591435,8590847,7.3067541403152365,47.403767,8.486376,47.38126,8.422532
828,8591439,8574780,6.917177973319246,47.33844,8.530159,47.358368,8.469505
829,8591439,8591371,6.472529908097357,47.33844,8.530159,47.40511,8.49349
830,8591441,Parent8503051,2.3241050298688095,47.35882,8.497586,47.362766,8.518292
831,8591442,8591440,2.3098548341844163,47.38157,8.571554,47.35185,8.566541
832,8591446,8576278,4.623798039259527,47.402187,8.496805,47.444492,8.466694
833,8591824,8503308:0:3,9.732095074204812,47.362965,8.518319,47.44861,8.583807
834,8591825,Parent8503003,10.04150295722854,47.36113,8.638613,47.36661,8.548485
