,allstops.stop_id,allstops.stop_name,allstops.latitude,allstops.longitude,allstops.location_type,allstops.parent_station,center_dist
32379,8580795,"Wila, Espistrasse",47.42347,8.845172,,,23.53599629309324
32380,8580796,"Wiesendangen, Oberdorf",47.522224,8.797866,,,25.187423960536606
32382,8580798,"Winterthur, Schiltwiesen",47.510345,8.76002,,,22.15985667806872
32399,8580822,"Beinwil am See, Bahnhof",47.267616,8.202158,,,28.29787375257371
32400,8580823,"Schwarzenbach LU, Löwen",47.23244,8.211311,,,29.62776418255315
32408,8580840,"Staffeln AG, Schulhaus",47.33034,8.341315,,,15.909182837808542
32409,8580842,"Rümikon AG, Bahnhof",47.565643,8.374679,,,24.313812201657907
32410,8580843,"Wohlen AG, Freiämterstrasse",47.345043,8.27502,,,20.32630029773109
32411,8580846,"Bremgarten AG, Kaserne",47.35781,8.332197,,,15.841880695471485
32412,8580847,"Bremgarten AG, Bibenlos",47.35384,8.349994,,,14.59097092576267
32433,8580872,"Uster, Ackerstrasse",47.353004,8.712706,,,13.302717684468437
32434,8580874,"Uster, Krämeracker",47.351738,8.705924,,,12.834992123092551
32435,8580877,"Uster, Sonnenberg",47.350185,8.702618,,,12.634077921858527
32436,8580879,"Uster, Stadthaus",47.3479,8.719093,,,13.90047387208068
32440,8580889,"Waltenschwil, Maiächer",47.337795,8.295762,,,18.965738573227583
32454,8580912,"Zürich, Schaufelbergerstrasse",47.368904,8.501844,,,3.069479462249073
32461,8580924,"Wohlen AG, Allmenweg",47.3574,8.276377,,,20.02059626884493
32544,8581014,"Fischbach-Göslikon, Kirchenack",47.374733,8.300909,,,18.041384849516447
32545,8581015,"Affoltern a.A., Friedhof",47.282665,8.446499,,,12.76430967652213
32606,8581056,"Pfäffikon SZ, Tertianum",47.20062,8.780906,,,26.831407186979845
32607,8581057,"Pfäffikon SZ, Gräfli",47.19663,8.781544,,,27.192418531868004
32608,8581059,"Stallikon, Loomatt",47.33842,8.485513,,,6.047792563354329
32619,8581072,"Siglistorf, Oberdorf",47.543106,8.377662,,,22.072258467046076
32638,8581103,"Wald ZH, Pflegezentrum",47.275433,8.908063,,,29.99645089599791
32741,8581264,"Wollerau, Wächlen",47.19648,8.721707,,,24.419755811121682
32742,8581265,"Pfäffikon SZ, Löwen",47.201572,8.776864,,,26.54772806842563
32743,8581266,"Pfäffikon SZ, Rain",47.20214,8.772318,,,26.271467203676256
32744,8581267,"Freienbach, Grütze",47.204372,8.761826,,,25.56289112097934
32745,8581268,"Freienbach, Kirche",47.205467,8.759715,,,25.366664661104473
32746,8581269,"Freienbach, alte Post",47.206688,8.756436,,,25.102598964254856
32747,8581270,"Freienbach, Oechsli",47.20594,8.753858,,,25.040544593891987
32748,8581271,"Freienbach, Leutschen",47.204018,8.75331,,,25.178367631970534
32749,8581272,"Freienbach, Chrummen",47.20145,8.752492,,,25.360184598401897
32750,8581273,"Freienbach, Bahnhof SOB",47.20433,8.759374,,,25.446031405452423
32751,8581274,"Freienbach, Gehren",47.203487,8.757191,,,25.411236869271328
32752,8581275,"Wilen bei Wollerau, Eulen",47.198586,8.742036,,,25.123279836745212
