,index,0-20,20-40,40-60,60-80,80-100,100-120,120-140,140-160,160-180,180-200
16,Tue - zug 9h-16h,0.3538889072683363,0.5279055149369769,0.6864392761438449,0.7999801501968439,0.8716379395904323,0.9201707083071426,0.9528567175042181,0.9735335957918417,0.9890164422536143,1.0
17,Tue - zug 16-21h,0.2840466926070039,0.4325474937056535,0.5795834287022202,0.7012130922407873,0.7940032043945983,0.8613412680247197,0.9124284733348592,0.9493705653467612,0.9780270084687571,1.0
18,Wed - bus 6h-9h,0.18570509087565512,0.3193796548870567,0.4896496766481748,0.629969044043277,0.7538786894290005,0.8406902258865356,0.9044778864130935,0.9479204339963834,0.9788886505041836,1.0
19,Wed - bus 9h-16h,0.16420418937653114,0.28776167777630074,0.4474523805002184,0.5871552373536915,0.7135613498680138,0.808762367776364,0.8814339340765077,0.9342410948845041,0.9722987130549278,1.0
20,Wed - bus 16-21h,0.1891557710200284,0.3154922220589916,0.47158970340988854,0.602296655403751,0.7201451120578489,0.8083508806294174,0.8786380033625516,0.9306432920359761,0.96976968153698,1.0
21,Wed - tram 6h-9h,0.31377452370517417,0.4857820516125706,0.6621980458377374,0.768671530588569,0.8539792209131455,0.9085307690324577,0.9459382814715512,0.9718734692825286,0.9885018948671015,1.0
22,Wed - tram 9h-16h,0.31858170262585717,0.489602497630596,0.6704911635167531,0.7773875229971567,0.8604560405864972,0.9133188381557674,0.9488097229191058,0.9727825165858281,0.9888387132742376,1.0
23,Wed - tram 16-21h,0.34937094318455003,0.5133584421828672,0.6799583299943905,0.7778828431765366,0.8563827229745973,0.9056334642198894,0.9419184229505569,0.9682827149611347,0.9871624328872506,1.0
24,Wed - zug 6h-9h,0.25181525563290663,0.3985328243131971,0.551837712403623,0.6832846769967812,0.781795044539262,0.8577737854629838,0.9084512313795943,0.9443820645257879,0.9757466876263193,1.0
25,Wed - zug 9h-16h,0.34126797867703756,0.5139973849197036,0.6711368893955141,0.7872062225500386,0.8619706976900124,0.9145740436517249,0.9491065142320716,0.9725081302175881,0.9885674053709727,1.0
26,Wed - zug 16-21h,0.284377838328792,0.4383287920072661,0.5823796548592189,0.7059037238873751,0.795322434150772,0.8617620345140781,0.9122161671207992,0.9494550408719346,0.9793823796548592,1.0
27,Thu - bus 6h-9h,0.1871763574493268,0.32181165852936827,0.4914866597622923,0.6314790156334763,0.7555173349114761,0.8410884253094639,0.9033325935789318,0.9471383833900479,0.9777025694136213,1.0
28,Thu - bus 9h-16h,0.16659235348790474,0.29141965384712,0.45290009796779623,0.5924508277022784,0.7204934813735587,0.8143792860910849,0.8860433570298174,0.9376303097289558,0.9741421537843201,1.0
29,Thu - bus 16-21h,0.18719493993594244,0.3129623802954393,0.4681930762962784,0.599490927866657,0.7186307492476866,0.8076820679139337,0.8780405160103589,0.9306379133689926,0.9697904817226162,1.0
30,Thu - tram 6h-9h,0.31421381689885075,0.4893247204711132,0.6657846265597842,0.7722520559317197,0.8569019638363556,0.9100837938101538,0.9470775935870496,0.9713855812384881,0.98822217033751,1.0
31,Thu - tram 9h-16h,0.3226957095414342,0.49487314242264985,0.674587111851595,0.7798973510304034,0.8641634332613971,0.9155773724994689,0.9501291498473684,0.9736221220829466,0.9890977401572162,1.0
32,Thu - tram 16-21h,0.34765656083393015,0.5102570223601496,0.6762632290920665,0.7737884936739079,0.8513248985438052,0.9033659584626402,0.9399856767724994,0.9658311450624651,0.9850242699132649,1.0
33,Thu - zug 6h-9h,0.2584686087020977,0.4108665035949893,0.5614113112445334,0.6863093914461493,0.781928693202876,0.8521236379808761,0.9077162552812986,0.9480394336965384,0.976354606774887,1.0
34,Thu - zug 9h-16h,0.3468661438080801,0.5194753839056219,0.6786396889211098,0.7904501416990707,0.8665722006195216,0.9161998286429842,0.9505371383378369,0.9730771765636328,0.989323139787781,1.0
35,Thu - zug 16-21h,0.2880404783808648,0.4407083716651334,0.5909383624655014,0.7079116835326587,0.7982060717571298,0.866329346826127,0.9155013799448022,0.9509659613615455,0.9783808647654094,1.0
36,Fri - bus 6h-9h,0.20177825284228937,0.34251408998153726,0.5171873481683024,0.6566417257798076,0.7775361966767078,0.8586811291419687,0.9164804197842775,0.9555133126032456,0.9819623943251384,1.0
37,Fri - bus 9h-16h,0.15938393796767966,0.2816601780652992,0.43924603097742226,0.5769948414005048,0.7048170601793565,0.801213142484521,0.8758481990096005,0.9307107762433258,0.9707367306487956,1.0
38,Fri - bus 16-21h,0.18699622115181888,0.3141593279164437,0.469128594365786,0.5998880941954946,0.7188285570638512,0.8072422517394054,0.8776983084383464,0.9302697092070906,0.9698219238067436,1.0
39,Fri - tram 6h-9h,0.3365506533833614,0.5127700866865054,0.688057963514038,0.7894423599430715,0.8705654030275586,0.9198602665286583,0.9530340276879286,0.9764264458532799,0.9908138180877216,1.0
40,Fri - tram 9h-16h,0.31615536778073794,0.4854842951393256,0.662439827572407,0.7694409824256492,0.8543970179631133,0.909738500062888,0.946099225905302,0.9711629715174315,0.9878797580525287,1.0
41,Fri - tram 16-21h,0.35368745938921375,0.5140025990903184,0.6787524366471734,0.7755847953216374,0.8513157894736842,0.9024691358024691,0.9387751786874594,0.9650747238466537,0.9844054580896686,1.0
42,Fri - zug 6h-9h,0.2688091305000751,0.42296140561645895,0.5799669620063073,0.7029584021624868,0.7976422886319268,0.8685988887220303,0.9204084697402012,0.9569004355008259,0.9814536717224809,1.0
43,Fri - zug 9h-16h,0.34182993469278955,0.5141610022657603,0.6690990270558443,0.789484206317473,0.8658869785419165,0.9148007463681194,0.9503531920565107,0.9725443156070905,0.9885045981607357,1.0
44,Fri - zug 16-21h,0.2752038547071905,0.42563936249073386,0.5726927353595256,0.6937546330615271,0.7857209043736101,0.8552631578947368,0.909979614529281,0.9495459599703484,0.9791048925129726,1.0
45,Sat - bus 6h-9h,0.2556247999548133,0.4204055504302148,0.6040423248545553,0.7430572552858998,0.853340989964792,0.9137405155046787,0.9544273530020899,0.9783480503831453,0.9915369118671512,1.0
46,Sat - bus 9h-16h,0.18108972126648928,0.31238769170764324,0.47484294251208403,0.615188260039839,0.7394517265876388,0.8279750379584616,0.8954784159133015,0.9433130423881096,0.9767199710262018,1.0
47,Sat - bus 16-21h,0.18990869973684346,0.3246635281660533,0.48921681087506036,0.6249111133026404,0.7454025464416774,0.8317355354742267,0.8962114802684508,0.9425208007847982,0.9756722948598834,1.0
48,Sat - tram 6h-9h,0.40687570834907444,0.5975317970028964,0.7821852831297486,0.8723502497586366,0.9326701087184653,0.9604164043151576,0.9796415228980397,0.9908491793644797,0.9967258531671074,1.0
49,Sat - tram 9h-16h,0.3622790239378659,0.5391526111400916,0.7162812264533704,0.8123688633860778,0.8855387468845998,0.9297513475917232,0.9584651944589346,0.9784849011766069,0.9910044629919434,1.0
50,Sat - tram 16-21h,0.31003872407456023,0.476224074560252,0.6500065634024679,0.7543810711472827,0.8389341034392229,0.8960192964032554,0.936925702284064,0.9655913625623523,0.9855441060645839,1.0
51,Sat - zug 6h-9h,0.4106784423926134,0.5943797671617824,0.7517462866318747,0.8553191489361702,0.9158570855078282,0.9492573263749499,0.9714171015656363,0.986029706945002,0.9943797671617824,1.0
